Label,Type,Description,Tag
Anti-Zionism,,,
Islamic Golden Age,,,
Islamic revival,,,
Muslim Brotherhood,,,
Hassan al-Hudaybi,,,
Mohammed Mahdi Akef,,,
Mohammed Badie,,,
Mahmoud Ezzat,,,
Mohamed Naguib,,,
Gamal Abdel Nasser,,,
Anwar Sadat,,,
Mohammed al-Ghazali,,,
Taqi al-Din al-Nabhani,,Middle East,Modern era
Wagdy Abd el-Hamied Mohamed Ghoneim,,,
Abu Muhammad al-Maqdisi,,,
Amin al-Husseini,Hanafi,,
Malcolm X,,,
Necmettin Erbakan,,,
Ahmed Yassin,,,
Abdel Aziz al-Rantisi,,,
Yahya Ayyash,,,
Rached Ghannouchi,,,
Muhammad Surur,,,
Mustafa al-Siba'i,,,
Abdullah Yusuf Azzam,,,
Mahfoud Nahnah,,,
Zainab al-Ghazali,,,
Yvonne Ridley,,,
Anwar al-Awlaki,,,
Ayman al-Zawahiri,,,
Muhammad Abd al-Salam Faraj,,,
Muhammad Qutb,,,
Osama bin Laden,,,
Shukri Mustafa,,,
Ruhollah Khomeini,,,
Ali Khamenei,,,
Abu Ali al-Anbari,,,
Abu Musab al-Zarqawi,,,
Turki al-Binali,,,
Al-Qaeda,,,
Safar al-Hawali,,,
Salman al-Ouda,,,
Sahwa movement,,,
Mohamad al-Arefe,,,
Zakir Naik,,,
Abu Ammaar Yasir Qadhi,,,
Muhammad Abu Khubza,,,
Rabey Hasani Nadwi,,,
Mohammad Akram Nadwi,,,
Sultan Zauq Nadvi,,,
Wazeh Rashid Hasani Nadwi,,,
Kaleem Siddiqui,,,
Abu Taher Misbah,,,
Junaid Babunagari,,,
Mamunul Haque,,,
Quran,,,
Muhammad,,,
Joseph Wolpe,,,
Istakhri,,,Islamic Golden Age
Ibn Hawqal,,,Islamic Golden Age
Al-Maqdisi,,,Islamic Golden Age
Mulla Sadra,,Safavid Persia,Post-Classical Islamic philosophy
Al-Bahrani,,,
Qutb al-Din al-Shirazi,,,
Ibn al-Shatir,,,
Kamāl al-Dīn al-Fārisī,,,
Hadi Sabzavari,,,
Muhammad Husayn Tabatabai,Twelver Shia,Iranian philosophy,20th-century philosophy
Morteza Motahhari,Jaʿfari,,
Gholamhossein Ebrahimi Dinani,,,
Hassan Hassanzadeh Amoli,,,
Muhammad al-Tijani,,North Africa,
Henry Corbin,Islamic philosophy,Western philosophy,20th-century philosophy
Mohammad Mofatteh,,,
Mohammad Beheshti,,,
Sayyed Jalal-ed-Din Ashtiani,,,
Ebrahim Amini,,,
Abdollah Javadi Amoli,,,
Musa al-Sadr,,,
Naser Makarem Shirazi,Jaʿfari,,
Dariush Shayegan,,,
Ali Motahari,,,
Ibn Arabi,Akbariyya,Middle Eastern philosophy,Medieval philosophy
Étienne Gilson,Thomism,Western philosophy,20th-century philosophy
Louis Massignon,,,
Carl Jung,,,
Temenos Academy,,,
James Hillman,,,
Harold Bloom,,,
Charles Olson,,,
Gilbert Durand,,Western philosophy,20th-century philosophy
William Chittick,,Islamic philosophy,Contemporary philosophy
Jacques Lacan,Psychoanalysis,Western philosophy,20th-century philosophy
Abdul Qadir Gilani,,Baghdad,Islamic Golden Age
Abu Madyan,,,
Sahl al-Tustari,,Ahwaz,Islamic golden age
Al-Hallaj,,,Abbasid
Bayazid Bastami,Sunni,Western Asia,Abbasid
Mohammed ibn Qasim al-Tamimi,,,
Ibn Masarra,,,
Ibn Barrajan,,,
Ibn al-Arif,,,
Abu-l-Qasim Ahmad ibn al-Husayn ibn Qasi,,,
Sadr al-Din al-Qunawi,Sufi philosophy,Islamic philosophy,Islamic Golden Age
Ibn al-Farid,,,
Abu Said al-Baji,,,
Abu al-Hasan al-Shushtari,Sab'iniyya,,
Mir Sayyid Ali Hamadani,,,
Firuzabadi,,,
Abd al-Karim al-Jili,,,
Haydar Amuli,,,
Fakhr al-Din Iraqi,,,
Mahmoud Shabestari,,,
Dawūd al-Qayṣarī,,,
Shams al-Din al-Fanari,,,
Shah Nimatullah Wali,,,
Jami,,,
Yahya Efendi,,,
Idris Bitlisi,,,
Hamzah Fansuri,,,
Abd al-Ghani al-Nabulsi,,,
Ahmad al-Maqqari,,,
Ismail Haqqi Bursevi,,,
Ahmed Raza Khan Barelvi,,,
Yusuf al-Nabhani,,Levant,
Ahmad ibn Ajiba,,,
Emir Abdelkader,,,
Ahmad al-Alawi,,,
René Guénon,Advaita Vedanta,French philosophy,20th-century philosophy
Michel Valsan,,,
Abdel-Halim Mahmoud,,,
Frithjof Schuon,Perennial philosophy,,
Javad Nurbakhsh,,,
Said Nursî,,Kurdistan,[4]
Syed Muhammad Naquib al-Attas,Islamic philosophy,,Modern
Muhammad Iqbal,,Islamic philosophy,20th-century philosophy
Abu Muhammad Salih al-Majiri,,,
Abd al-Salam ibn Mashish,,,
Abu Abdallah ibn Harzihim,,,
Al-Shadhili,,,
Aisha Al-Manoubya,,,
Abu al-Abbas al-Mursi,,,
Ibn Ata Allah al-Iskandari,,Alexandria,
Al-Busiri,,,
Muhammad al-Jazuli,,,
Muhammad al-Arabi al-Darqawi,,,
Imam Fassi,,,
Hafez,,,
Attar of Nishapur,,,
Sanai,,,
Rumi,,Khwarezmian Empire,Islamic Golden Age
Balım Sultan,,,
Sachal Sarmast,Sufism,,
Imadaddin Nasimi,,,
Shah Hussain,,,
Ahmad Yasawi,,,Islamic Golden Age
Shah Abdul Latif Bhittai,,,
Kazi Nazrul Islam,,,
Abdolhossein Zarrinkoob,,,
Abdolkarim Soroush,Irfan,Western philosophy,21st-century philosophy
Hossein Elahi Ghomshei,Theology,Islamic philosophy,20th-century philosophy
Yunus Emre,,,Anatolian beyliks
Eva de Vitray-Meyerovitch,,,
Annemarie Schimmel,,,
Elsa Kazi,,,
Imdad Ali Imam Ali Kazi,,,
Nabi Bakhsh Baloch,,,
Hotchand Molchand Gurbakhshani,,,
Tanveer Abbasi,,,
Qadir Bux Bedil,,,
Shaikh Ayaz,,,
Makhdoom Muhammad Zaman Talibul Moula,,,
G. M. Syed,,,
Jakob Friedrich Fries,Post-Kantianism,Western philosophy,19th-century philosophy
Søren Kierkegaard,Existentialism,Western philosophy,
Albert Einstein,,,
Vienna Circle,,,
Alfred Tarski,,,
Otto Selz,,,
Bertrand Russell,Analytic philosophy,Western philosophy,20th-century philosophy
Donald T. Campbell,,,
Charles Sanders Peirce,Pragmatism,Western philosophy,Late modern philosophy
Gottlob Frege,Analytic philosophy,Western philosophy,19th-century philosophy
Bernard Bolzano,Logical objectivism,Western philosophy,Modern philosophy
Edmund Husserl,Continental philosophy,Western philosophy,20th-century philosophy
Günter Wächtershäuser,,,
Imre Lakatos,Analytic philosophy,Western philosophy,20th-century philosophy
Paul Feyerabend,Analytic philosophy,Western philosophy,20th-century philosophy
George Soros,,,
David Miller (philosopher),,,
W. W. Bartley III,,,
Ernst Gombrich,,,
Ian Jarvie,,,
Paul Levinson,,,
Peter Munz,,,
Bryan Magee,transcendental idealism,Western philosophy,Contemporary philosophy
Konrad Lorenz,,,
Jeremy Shearmur,Critical rationalism,,20th-century philosophy
Peter Medawar,,,
Hans Albert,Analytic philosophy,Western philosophy,Contemporary philosophy
Ernest Gellner,Critical rationalism,Western philosophy,20th-century philosophy
Thomas Kuhn,Analytic,Western philosophy,20th-century philosophy
José Guilherme Merquior,Social liberalism,Western philosophy,20th-century philosophy
Helmut Schmidt,,,
Michael Redhead,Analytic,Western philosophy,Contemporary philosophy
Donald A. Gillies,Analytic,Western philosophy,Contemporary philosophy
David Deutsch,,,
John Eccles (neurophysiologist),,,
Roger Penrose,,,
Archimedes,,,
Elisabeth of the Palatinate,,,
Francisco Suárez,Scholasticism,Western philosophy,Early modern philosophy
Marin Mersenne,,,
Jacobus Golius,,,
Isaac Beeckman,,,
William Harvey,,,
François Viète,,,
Teresa of Ávila,,,Catholic Reformation
Francisco Sanches,Renaissance skepticism,Western philosophy,Renaissance philosophy
Rodrigo de Arriaga,Scholasticism,Western philosophy,17th-century philosophy
Antoine Arnauld,Rationalism,Western philosophy,17th-century philosophy
Jacques-Bénigne Bossuet,,,
Christiaan Huygens,,,
Lanfranc,,,
Thomas Bradwardine,Scholasticism,Western philosophy,Medieval philosophy
Alexander of Hales,Scholasticism,Western philosophy,Medieval philosophy
Francis of Assisi,,,
Peter John Olivi,,,
John of the Cross,,,
Louis de Montfort,,,
Maurice Blondel,French spiritualism,Western philosophy,19th-century philosophy
Jean-Luc Marion,Continental philosophy,Western philosophy,20th-
Richard of Saint Victor,,,
Alexander Carpenter,,,
Richard Rufus of Cornwall,,,
Henry of Ghent,Scholasticism,Western philosophy,Ancient philosophy
Antonius Andreas,,,
Henry of Harclay,Scholasticism,Western philosophy,Medieval philosophy
Thomas Wilton,,,
Alvin Plantinga,Analytic,Western philosophy,20th-century philosophy
Gerard Manley Hopkins,,,
Petrus Aureolus,,,
Durandus of Saint-Pourçain,,,
Albert of Saxony (philosopher),Nominalism,Western philosophy,Medieval philosophy
Adam de Wodeham,,,
Gregory of Rimini,Scholasticism,Western philosophy,Medieval philosophy
John Wycliffe,,,Medieval philosophy
Gabriel Biel,,,
Henry VIII,,,
John Calvin,,,Renaissance
Arnold of Brescia,,,
Abu'l-Barakāt al-Baghdādī,,Islamic civilization,Islamic Golden Age
Al-Samawal al-Maghribi,,,Islamic Golden Age
Abraham ibn Ezra,,,
Ibn Kammuna,,,
Athir al-Din al-Abhari,,,Islamic Golden Age
Nizam al-Din al-Nisaburi,,,Islamic Golden Age
Shihab al-Din al-Qarafi,,,
Ibn Abi Usaybi'a,,,
Sa'id Foudah,,,
Peter of Spain,,,
Nicole Oresme,Nominalism,Western philosophy,Medieval philosophy
Marsilius of Inghen,Nominalism,Western philosophy,Medieval philosophy
Pierre d'Ailly,,,
Al_Kindi,Aristotelianism,Islamic philosophy,Islamic Golden Age
Al_Farabi,Aristotelianism,Islamic philosophy,Islamic Golden Age
Adam Marsh,,,
William of Sherwood,,,
Juan Bautista Alberdi,Generation of '37,Western philosophy,19th-century philosophy
Hebrew Bible,,,
Aristophanes,,,
Saadia Gaon,,,Medieval philosophy
Isaac Abarbanel,,Jewish philosophy,Medieval philosophy
Judah Halevi,,Jewish philosophy,Medieval philosophy
Johann Joachim Winckelmann,,,
Moses Mendelssohn,,,18th-century philosophy
Gotthold Ephraim Lessing,,,
Founding Fathers of the United States,,,
Alexis de Tocqueville,Liberalism,Western philosophy,19th-century philosophy
Jacob Klein (philosopher),,,
Hermann Cohen,Neo-Kantianism,Western philosophy,19th-century philosophy
Julius Ebbinghaus,,,
Eduard Zeller,,,
Karl Reinhardt (philologist),,,
Julius Guttmann,,,
Karl Barth,,,
Simon Dubnow,,,
Rudolf Otto,,,
Émile Durkheim,,,
Nechama Leibowitz,,,
Nahum Norbert Glatzer,,,
Michael Oakeshott,British idealism,Western philosophy,20th-century philosophy
R. G. Collingwood,British idealism,Western philosophy,20th-century philosophy
Ernst Cassirer,Neo-Kantianism,Western philosophy,20th-century philosophy
Eric Voegelin,Perennial philosophy,Western philosophy,20th-century philosophy
Alexandre Kojève,Neo-Hegelianism,Western philosophy,20th-century philosophy
Oswald Spengler,Continental philosophy,Western philosophy,20th-century philosophy
Umberto Cassuto,,,
Alexander Altmann,,,
Ernest Barker,,,
Paul Kraus (Arabist),,,
Karl Löwith,,,
Alexandre Koyré,Continental philosophy,Western philosophy,20th-century philosophy
Kurt Riezler,,,
Gershom Scholem,Continental philosophy,German philosophy,20th-century philosophy
Lev Shestov,Christian existentialism,Russian philosophy,19th-century philosophy
R. H. Tawney,,,
Otto von Gierke,,,
Jacob Talmon,,,
David Grene,,,
David Daube,,,
Eve Adler,,,
George Anastaplo,,,
Perry Anderson,,,
Hadley Arkes,,,
Larry Arnhart,,,
Raymond Aron,Continental philosophy,Western philosophy,20th-century philosophy
Edward C. Banfield,,,
Saul Bellow,,,
Seth Benardete,Continental philosophy,Western philosophy,Contemporary philosophy
Walter Benjamin,Continental philosophy,Western philosophy,20th-century philosophy
Peter Berkowitz,,,
Hans Blumenberg,,,
Michael Peter Davis,,,
Walter Berns,,,
Allan Bloom,Continental philosophy,Western philosophy,20th-century philosophy
Rémi Brague,Continental Philosophy,Western Philosophy,
Eva Brann,,,
Charles Butterworth (philosopher),,,
Ronna Burger,,Western philosophy,Contemporary philosophy
Joseph Cropsey,,,
Paul Cantor,,,
Werner J. Dannhauser,,,
Shadia Drury,,,
Murray Dry,,,
Ernest Fortin,,,
Paul Franco,,,
Francis Fukuyama,,Western philosophy,20th-century philosophy
Hans-Georg Gadamer,Continental philosophy,Western philosophy,20th-century philosophy
William Galston,,,
Gan Yang,,,
Hilail Gildin,Continental philosophy,,20th-century philosophy
Paul Gottfried,Paleoconservatism,Western philosophy,Contemporary philosophy
Robert Goldwin,,,
George Grant (philosopher),,,
Ralph C. Hancock,,,
Pierre Hassner,,,20th
Christopher Hitchens,New Atheism,,Contemporary
Ed Husain,,,
Harry V. Jaffa,,,
Hans Jonas,Continental philosophy,Western philosophy,20th-century philosophy
Richard Kennington,Continental,Western philosophy,20th century Philosophy
Irving Kristol,,,
Laurence Lampert,,,
Claude Lefort,Continental philosophy,Western philosophy,Contemporary philosophy
Ralph Lerner (philosopher),,,
Yuval Levin,,,
Mark Lilla,,,
Liu Xiaofeng (academic),,,
Pierre Manent,,,
Muhsin Mahdi,,,
Harvey Mansfield,,,
Roger Masters,,,
Richard McKeon,,Western Philosophy,20th-century philosophy
Paul R. Mendes-Flohr,,,
Arnaldo Momigliano,,,
Martha Nussbaum,Analytic philosophy,,
David Novak,,,
Clifford Orwin,,,
Thomas Pangle,,,
Joshua Parens,Medieval Philosophy,Western philosophy,21st century Philosophy
Shlomo Pines,,,
Robert B. Pippin,Continental,Western philosophy,Contemporary philosophy
J. G. A. Pocock,,,
Richard Rorty,Neopragmatism,Western philosophy,20th-century philosophy
Stanley Rosen,Continental philosophy,Western philosophy,20th-century philosophy
Claes G. Ryn,,,
James V. Schall,,,
Susan Shell,German idealism,Western philosophy,21st century Philosophy
Abram Shulsky,,,
Steven B. Smith (professor),,,
Roger Scruton,Traditionalist conservatism,Western philosophy,20th-century philosophy
George Steiner,,,
Hans Speier,,,
James Reist Stoner Jr.,,,
Herbert Storing,,,
Clarence Thomas,,,
Richard Velkley,Continental,Western philosophy,21st-century philosophy
Thomas G. West,,,
Paul Wolfowitz,,,
Sheldon Wolin,Continental philosophy,Western philosophy,Contemporary philosophy
Slavoj Žižek,Continental philosophy,Western philosophy,20th-
Catherine Zuckert,,Western philosophy,21st-century philosophy
Michael Zuckert,,Western philosophy,21st-century philosophy
Amerigo Vespucci,,,
Lucian,,,
Kabbalah,,,
Chaldean Oracles,,,
John Colet,Renaissance humanism,Western philosophy,Renaissance philosophy
Thomas Cajetan,Thomism,Western philosophy,Medieval philosophy
Polycarp,,,
Jerome,,,Patristic Age
John Chrysostom,,,
Girolamo Savonarola,,,Renaissance
Guillaume Budé,Renaissance humanism,Western philosophy,Renaissance philosophy
Joseph Schnitzer,,,
Luigi Sturzo,,,
Sebastian Maggi,,,
Philip Neri,,,
Catherine de' Ricci,,,
Pope Pius X,,,
Pope Pius XII,,,
Ralph McInerny,,,
Mary I of England,,,
Catherine de' Medici,,,
Louis XIV,,,
Christopher Ferrara,,,
Léon Brunschvicg,French Idealism,Western philosophy,20th-century philosophy
Jacques Maritain,Existential Thomism,Western philosophy,20th-century philosophy
John F. X. Knasas,,,
Norman Geisler,non-denominational Evangelical Christian,Western Philosophy,20th-century philosophy
Paul Weiss (philosopher),Process philosophy,Western philosophy,20th-century philosophy
Second Vatican Council,,,
Dorothy Day,,,
Thomas Merton,,,
Charles Renouvier,Critical philosophy,Western philosophy,19th-century philosophy
Jean Cavaillès,Continental philosophy,Western philosophy,20th-century philosophy
Gaston Bachelard,Continental philosophy,Western philosophy,20th-century philosophy
Louis Lavelle,Continental philosophy,Western philosophy,20th-century philosophy
Alexander Gottlieb Baumgarten,Age of Enlightenment,Western philosophy,18th-century philosophy
Émilie du Châtelet,,,
Christian August Crusius,,,
Johann Georg Hamann,Post-Kantian,Western philosophy,18th-century philosophy
Christian Wolff (philosopher),Age of Enlightenment,Western philosophy,18th-century philosophy
Emanuele Tesauro,Christian philosophy,Western philosophy,17th-century philosophy
Georg Friedrich Meier,Age of Enlightenment,Western philosophy,18th-century philosophy
Johann Georg Sulzer,,,
Justus Lipsius,Neostoicism,Western philosophy,
Giambattista Marino,,,
Giovanni Botero,,Western philosophy,Baroque philosophy
Jean Baudoin (translator),,,
Dominique Bouhours,,,
Claude-François Ménestrier,,,
Nicolas Boileau-Despréaux,,,
Umberto Eco,Continental philosophy,Western philosophy,20th-
Adam Contzen,,,
Caspar Schoppe,,,
Nicolaus Vernulaeus,,,
Nicolas Poussin,,,
Francisco de Vitoria,Thomism,Western philosophy,Renaissance philosophy
Domingo de Soto,,,
Thomas Mun,,,
Peter Crockaert,,,
Martín de Azpilcueta,Thomism,Western philosophy,Renaissance philosophy
Luis de Molina,Molinism,Western philosophy,16th-century philosophy
Edward Coke,,,
John Selden,Natural law,Western philosophy,17th-century philosophy
John Milton,,,
William Blackstone,,,
Charles Watson-Wentworth 2nd Marquess of Rockingham,,,
Hannah More,,,
Friedrich von Gentz,,,
William Wordsworth,,,
George Canning,,,
Samuel Taylor Coleridge,,,
Henry Brougham 1st Baron Brougham and Vaux,,,
John C. Calhoun,,,
Thomas Babington Macaulay,,,
Richard Cobden,,,
Benjamin Disraeli,,,
William Ewart Gladstone,,,
Hippolyte Taine,,,
John Dalberg-Acton 1st Baron Acton,,,
John Morley,,,
Irving Babbitt,,,
Slobodan Jovanović,,,
Hilaire Belloc,,,
Francis Hirst,,,
G. K. Chesterton,,,
Russell Kirk,Traditionalist conservatism,Western philosophy,20th-century philosophy
William F. Buckley Jr.,,,
Andrzej Frycz Modrzewski,,Western philosophy,Renaissance philosophy
Alberico Gentili,,,
Gustavus Adolphus,,,
Christian Thomasius,,,
Richard Cumberland (philosopher),,,
Cornelius van Bynkershoek,,,
Jean Barbeyrac,,,
Philip Melanchthon,,,Reformation
Stanisław Orzechowski,,,
Mikołaj Rej,,,
Polish Brethren,,,
Johannes Althusius,,,
Petrus Ramus,Renaissance humanism,Western philosophy,Renaissance philosophy
Johannes Sturm,,,
Dionysius the Areopagite,,,
Constantine the African,,,
Joachim of Fiore,Joachimitism,Western philosophy,Medieval philosophy
Arnaldus de Villa Nova,,,
Matthaeus Platearius,,,
Ibn al-Muqaffa',,,
Ibn Sab'in,Sab'iniyya,,
Peter of Limoges,,,
Heymeric de Campo,,,
Raymond of Sabunde,,,
Bernardo Buil,,,
George Ripley (alchemist),,,
Jacques Lefèvre d'Étaples,,,
Charles de Bovelles,,,
Bernard de Lavinheta,,,
Francisco Jiménez de Cisneros,,,
Johann Reuchlin,Renaissance humanism,Western philosophy,Western philosophy
Heinrich Cornelius Agrippa,,,
John Dee,,,
Giulio Pace,,,
Juan de Zumárraga,,,
John Wilkins,,,
George Dalgarno,,,
Athanasius Kircher,,,
Johann Heinrich Alsted,,Western philosophy,Baroque philosophy
Johann Heinrich Bisterfeld,,,
George Herbert,,,
John Donne,,,
Thomas Traherne,,,
Francisco de Osuna,,,
Junípero Serra,,,
Josep Perarnau,,,
Fraticelli,,,
Dulcinians,,,
Brethren of the Free Spirit,,,
Amalrician,,,
Cult of the Holy Spirit,,,
August Cieszkowski,Young Hegelians,Western philosophy,Modern philosophy
Karl Ludwig Michelet,,,
Józef Maria Hoene-Wroński,Polish messianism,Western philosophy,19th-century philosophy
Zygmunt Krasiński,,,
Józef Kallenbach,,,
Norwid,,,
Bronisław Trentowski,,,
Józef Kremer,,,
Wincenty Lutosławski,Platonism,Western philosophy,Modern philosophy
Johann Gottlieb Fichte,Continental philosophy,Western philosophy,18th-century philosophy
Johann Gottfried Herder,Enlightenment,Western philosophy,18th-century philosophy
Friedrich Hölderlin,,,
Theodor W. Adorno,Continental philosophy,Western philosophy,20th-century philosophy
Jacques Derrida,Continental philosophy,Western philosophy,20th-century philosophy
John Dewey,Pragmatism,Western philosophy,20th-century philosophy
Giovanni Gentile,Neo-Hegelianism,Western philosophy,20th-century philosophy
Rudolf Kjellén,,,
György Lukács,Neo-Kantianism,Western philosophy,20th-century philosophy
Maurice Merleau-Ponty,Phenomenology,Western philosophy,20th-century philosophy
Wilfrid Sellars,Analytic,Western philosophy,20th-century philosophy
Jean Wahl,Continental philosophy,Western philosophy,20th-century philosophy
Salomon Maimon,German idealism,Western philosophy,18th-century philosophy
Karl Leonhard Reinhold,Austrian Enlightenment,Western philosophy,18th-century philosophy
Gottlob Ernst Schulze,German idealism,Western philosophy,18th-century philosophy
Ernst Platner,Rationalism,Western philosophy,18th-century philosophy
Immanuel Hermann Fichte,German idealism,Western philosophy,19th-century philosophy
Dieter Henrich,German idealism,Western philosophy,Contemporary philosophy
C. I. Lewis,Conceptual pragmatism,Western philosophy,20th-century philosophy
Johann Friedrich Herbart,German idealism,Western philosophy,19th-century philosophy
Novalis,,,
August Ludwig Hülsen,German idealism,Western philosophy,18th-century philosophy
Jules Lequier,Continental philosophy,Western philosophy,19th-century philosophy
Adam Karl August von Eschenmayer,German idealism,Western philosophy,19th-century philosophy
Wilhelm von Humboldt,Berlin Romanticism,Western philosophy,19th-century philosophy
Ludwig Tieck,,,
Karl Wilhelm Ferdinand Solger,,,
John Spencer (priest),,,
Christoph Martin Wieland,,,
Christoph Gottfried Bardili,,,
Friedrich Adolf Trendelenburg,German idealism,Western philosophy,19th-century philosophy
Franz Brentano,School of Brentano,Western philosophy,19th-century philosophy
Friedrich Paulsen,,,
Ernst Laas,,,
Rudolf Christoph Eucken,Continental philosophy,Western philosophy,19th-
Wilhelm Dilthey,Continental philosophy,Western philosophy,19th-century philosophy
George Sylvester Morris,Aristotelian,Western philosophy,19th-century philosophy
Friedrich Schlegel,Jena Romanticism,Western philosophy,19th-century philosophy
Johann August Ernesti,,,
Georg Anton Friedrich Ast,,,
Friedrich August Wolf,,,
Thomas Paine,Liberalism,,Age of Enlightenment
August Böckh,,,
Rudolf Bultmann,,,
Albrecht Ritschl,,,
Friedrich Ueberweg,,,
Manfred Frank,Continental philosophy,Western philosophy,Contemporary philosophy
Antoine Berman,,,
Heinrich Ritter,,,
L. Harold DeWolf,,,
Walter Rauschenbusch,,,
Daphne Hampson,,,
Kazimierz Brodziński,,,
Franz Bopp,Romantic linguistics,,
Adam Mickiewicz,,,
Martin Knutzen,Age of Enlightenment,Western philosophy,18th-century philosophy
John Milbank,,,
Christian Jakob Kraus,Cameralism,,18th-century philosophy
Ludwig Wittgenstein,Analytic philosophy,Western philosophy,20th-century philosophy
Isaiah Berlin,Analytic,Western philosophy,20th-century philosophy
A. J. Ayer,Analytic philosophy,Western philosophy,20th-century philosophy
Simon Blackburn,Analytic philosophy,Western philosophy,Contemporary philosophy
Jorge Luis Borges,,,
Daniel Dennett,Analytic philosophy,Western philosophy,20th
Jerry Fodor,Analytic,Western philosophy,20th-
Alexander Hamilton,,,
William James,Pragmatism,Western philosophy,19th-
J. L. Mackie,Analytic philosophy,Western philosophy,20th-century philosophy
James Madison,,,
Jordan Howard Sobel,Analytic philosophy,,
Thomas Reid,Scottish common sense realism,Western philosophy,18th-century philosophy
Marquis de Condorcet,Enlightenment,Western philosophy,18th-century philosophy
Frederick the Great,,,
Pierre des Maizeaux,,,
Pierre Louis Maupertuis,,,
John Toland,,Western philosophy,Age of Enlightenment
Franciscus van den Enden,,Western philosophy,17th century philosophy
Hasdai Crescas,,,
Percy Bysshe Shelley,,,
George Santayana,Pragmatism,Western philosophy,20th-century philosophy
Franciscus Mercurius van Helmont,,,
Confucius,Confucianism,Chinese philosophy,Hundred Schools of Thought
Apollonius of Perga,,,
Francesco Sforza Pallavicino,Aristotelianism,Western philosophy,17th-century philosophy
Anne Conway (philosopher),,,
Norbert Wiener,,,
Bernhard Riemann,,,
Carl Friedrich Gauss,,,
Joseph-Louis Lagrange,,,
Leonhard Euler,,,
George Boole,algebraic logic,Western philosophy,19th-century philosophy
Kurt Gödel,,,
Benoit Mandelbrot,,,
Wilhelm Wundt,,,
Nicholas Rescher,Analytic,Western philosophy,Contemporary philosophy
Xia dynasty,,,
Shang dynasty,,,
Western Zhou,,,
I_Ching,,,
Book_of_Rites,,,
Classic_of_Poetry,,,
Chinese philosophy,,,
Mencius,Confucianism,Chinese philosophy,Ancient philosophy
Xun Kuang,Confucianism,Chinese philosophy,Hundred Schools of Thought
Zhu Xi,Confucianism,Chinese philosophy,Medieval philosophy
Wang Yangming,Confucianism,,
Xuanxue,,,
Han Yu,,,
Neo-Confucianism,,,
Niels Bohr,,,
Benjamin Franklin,,,
Allen Ginsberg,,,
Robert Cummings Neville,,,
Alexander Pope,,,
Ezra Pound,,,
Zisi,,,
Cheng Hao,,,
Zhou Dunyi,Neo-Confucianism,Chinese Philosophy,Neo-Confucianism
Cheng Yi (philosopher),,,Neo-Confucianism
Zhang Zai,,,
Joseph Needham,,,
Yi Hwang,,,
Wang Fuzhi,,,
Ch'ien Mu,,,
Tu Weiming,,,
Upanishads,,,
Baltasar Gracián,Spanish Baroque literature,,17th-century philosophy
Karl Christian Friedrich Krause,Continental philosophy,Western philosophy,19th-century philosophy
Friends of God,,,
Augusto dos Anjos,,,
Machado de Assis,,,
Julius Bahnsen,Continental philosophy,Western philosophy,19th-century philosophy
Samuel Beckett,,,
Johannes Brahms,,,
L. E. J. Brouwer,,,
Joseph Campbell,,,
Afanasy Fet,,,
Emil Cioran,Continental philosophy,Western philosophy,
John Gray (philosopher),Analytic,Western philosophy,Contemporary philosophy
Thomas Hardy,,,
Eduard von Hartmann,Continental philosophy,Western philosophy,19th-century philosophy
Hermann Hesse,,,
Max Horkheimer,Continental philosophy,Western philosophy,20th century philosophy
Joris-Karl Huysmans,,,
Karl Kraus (writer),,,
Anthony Ludovici,Continental philosophy,Western philosophy,20th-century philosophy
Thomas Ligotti,,,
Gustav Mahler,,,
Philipp Mainländer,Continental philosophy,Western philosophy,19th-century philosophy
Ettore Majorana,,,
Thomas Mann,,,
Guy de Maupassant,,,
Carlo Michelstaedter,,Western philosophy,20th-century philosophy
Marcel Proust,,,
Otto Rank,,,
Gerard Reve,,,
Rainer Maria Rilke,,,
Gilbert Ryle,Analytic philosophy,Western philosophy,20th-century philosophy
Moritz Schlick,Analytic philosophy,Western philosophy,20th-century philosophy
George Bernard Shaw,,,
Arnold Schoenberg,,,
Erwin Schrödinger,,,
Vladimir Solovyov (philosopher),Christian philosophy,Russian philosophy,19th-century philosophy
Leo Tolstoy,,,
Hans Vaihinger,Neo-Kantianism,Western philosophy,Contemporary philosophy
Johannes Volkelt,,,
Otto Weininger,Idealism,Western philosophy,20th-century philosophy
Peter Wessel Zapffe,Continental philosophy,,20th-century philosophy
Émile Zola,,,
Ernst Mach,,,
Louis de Bonald,Conservatism,Western philosophy,18th-century philosophy
Jacob Bernoulli,,,
Alain Badiou,Continental philosophy,Western philosophy,Contemporary philosophy
Augusto Del Noce,Continental philosophy,Western philosophy,20th-century philosophy
Herodotus,,,
Erich Auerbach,,,
Cornelius Castoriadis,Continental philosophy,Western philosophy,20th-century philosophy
Carlo Cattaneo,,,
Juan Donoso Cortés,Spanish Traditionalism,Western Philosophy,19th-century philosophy
Benedetto Croce,Neo-Hegelianism,Western philosophy,20th-century philosophy
Julius Evola,Perennialism,Western philosophy,20th-century philosophy
Giuseppe Ferrari (philosopher),,,
Ugo Foscolo,,,
Northrop Frye,,,
Vittorio Hösle,Continental philosophy,Western philosophy,Contemporary philosophy
Carlo Levi,,,
Francesco Lomonaco,,,
Marshall McLuhan,Toronto School of communication theory,Western philosophy,20th-century philosophy
Jules Michelet,Anti-clericalism,Western philosophy,Modern philosophy
