Label,Type,Description,Tag
Crates of Athens,,,
Crantor,,,
Arcesilaus,Academic Skepticism,Western philosophy,Hellenistic philosophy
Speusippus,Platonism,Western philosophy,Ancient philosophy
Theodorus the Atheist,,,
Bion of Borysthenes,Cynicism,,
Theophrastus,Peripatetic school,Western philosophy,Ancient philosophy
Lacydes of Cyrene,,,
Carneades,Academic skepticism,Western philosophy,Hellenistic philosophy
Clitomachus (philosopher),Academic skepticism,,
Philo of Larissa,Academic skepticism,,
Cicero,Academic skepticism,Western philosophy,Hellenistic philosophy
Plutarch,Middle Platonism,Ancient philosophy,Hellenistic philosophy
Favorinus,Skepticism,Western philosophy,Hellenistic philosophy
The Buddha,,,
Nausiphanes,,,
Sextus Empiricus,Pyrrhonism,Western philosophy,Hellenistic philosophy
Galen,,,
Michel de Montaigne,Counter-Reformation,Western philosophy,Renaissance philosophy
Nagarjuna,Mahāyāna,Eastern philosophy,Ancient philosophy
Pyrrhonism,,,
René Descartes,Rationalism,Western philosophy,17th-century philosophy
Augustine of Hippo,Augustinianism,Western philosophy,Ancient philosophy
Étienne de La Boétie,French Renaissance,Western philosophy,Renaissance philosophy
Diogenes Laertius,,,
Horace,,,
Ovid,,,
Terence,,,
Virgil,,,
Hannah Arendt,Continental philosophy,Western philosophy,20th-century philosophy
Francis Bacon,Empiricism,Western philosophy,Renaissance philosophy
Albert Camus,Continental philosophy,Western philosophy,
Pierre Charron,Scepticism,,Renaissance philosophy
Charles Darwin,,,
Ralph Waldo Emerson,Transcendentalism,American philosophy,19th-century philosophy
Jean Meslier,,,
Montesquieu,Enlightenment,Western philosophy,18th-century philosophy
Michel Foucault,Continental philosophy,Western philosophy,
Sigmund Freud,,,
Edward Gibbon,,,
William Hazlitt,,,
Albert O. Hirschman,,,
Eric Hoffer,,,
Jean-François Lyotard,Continental philosophy,Western philosophy,20th-century philosophy
John Henry Newman,Aristotelianism,Western philosophy,19th-century philosophy
Blaise Pascal,Cartesianism,Western philosophy,17th-century philosophy
Alexander Pushkin,,,
Jean-Jacques Rousseau,Enlightenment French philosophy,Western philosophy,Age of Enlightenment
José Saramago,,,
Jean-Paul Sartre,Continental philosophy,Western philosophy,20th-century philosophy
William Shakespeare,,,Elizabethan
Mark Twain,,,
Nassim Nicholas Taleb,,,
Virginia Woolf,,,
Fulton J. Sheen,,,
Gore Vidal,,,
Voltaire,Lumières,Western philosophy,Age of Enlightenment
Stefan Zweig,,,
Ambrose,,,Patristic Age
Ambrosiaster,,,
Anthony the Great,,,
Arnobius,,Western philosophy,Roman philosophy
Cyprian,,,
Hilary of Poitiers,,,
Irenaeus,,,Patristic Age
Lactantius,,,
Lucan,,,
Saint Monica,,,
Optatus,,,
Paul the Apostle,,,Apostolic Age
Persius,,,
Plotinus,Neoplatonism,Western philosophy,Ancient philosophy
Quintilian,,,
Sallust,,,
Ticonius,,,
Marcus Terentius Varro,,,
Gaius Marius Victorinus,,,
Catholic theology,,,
Protestantism,,,
Hesiod,,,
Gaius Memmius (praetor 58 BC),,,
Pierre Gassendi,Aristotelianism,Western philosophy,17th-century philosophy
Stephen Greenblatt,,,
Arthur Schopenhauer,Continental philosophy,Western philosophy,19th-century philosophy
Giacomo Leopardi,Classicism,Western philosophy,19th-century philosophy
Gilles Deleuze,Continental philosophy,Western philosophy,20th-century philosophy
Thomas Nail,Philosophy of Motion,Western philosophy,Contemporary philosophy
Hermarchus,,,
Diogenes of Oenoanda,,,
Thomas Hobbes,British empiricism,Western philosophy,17th-century philosophy
Thomas Jefferson,Classical liberalism,Western philosophy,Age of Enlightenment
Isaac Newton,,,
Metrodorus of Lampsacus (the younger),Epicureanism,Western philosophy,Hellenistic philosophy
Philodemus,Epicureanism,Western philosophy,Hellenistic philosophy
Jun Tsuji,Nihilism,,20th century philosophy
Arete of Cyrene,,,
Aristippus the Younger,Cyrenaic school,Western philosophy,Ancient philosophy
Anniceris,,,
Hegesias of Cyrene,,,
Michel Onfray,Materialism,Western philosophy,Contemporary philosophy
Julien Offray de La Mettrie,French materialism,Western philosophy,18th-century philosophy
Individualist anarchism,,,
Georges Bataille,Continental philosophy,Western philosophy,20th-century philosophy
Georges Palante,Nietzscheanism,Western philosophy,20th-century philosophy
François-Joseph Hunauld,,,
Herman Boerhaave,,,
Pierre Jean Georges Cabanis,,,
François Picavet,,,
Hugo Grotius,Natural law,Western philosophy,Renaissance philosophy
Robert Filmer,,Western philosophy,17th-century philosophy
Samuel von Pufendorf,Natural law,Western philosophy,17th-century philosophy
Damaris Cudworth Masham,Cambridge Platonists,Western philosophy,17th-century philosophy
George Berkeley,Subjective idealism,Western philosophy,18th-century philosophy
William Godwin,Philosophical anarchism,Western philosophy,Modern philosophy
Immanuel Kant,Enlightenment philosophy,Western philosophy,Age of Enlightenment
Anthony Ashley-Cooper 3rd Earl of Shaftesbury,Cambridge Platonism,Western philosophy,18th-century philosophy
Basil Montagu,,,
Encyclopédistes,,,
